timestamp,X,Y,Z
1764061305871,-0.001537,0.025341,-0.380215
1764061305881,-0.007906,0.006865,-0.385035
1764061305891,-0.013876,-0.006311,-0.399037
1764061305901,-0.01393,-0.009949,-0.406128
1764061305911,-0.015993,-0.008373,-0.422988
1764061305921,-0.015591,-0.01531,-0.450358
1764061305931,-0.013351,-0.009147,-0.466053
1764061305941,-0.016761,-0.014014,-0.477572
1764061305951,0.000256,0.018942,-0.46704
1764061305961,0.002639,0.032413,-0.465673
1764061305971,0.009876,0.050963,-0.488894
1764061305981,0.013357,0.065294,-0.508204
1764061305991,0.020387,0.077436,-0.558456
1764061306001,0.011283,0.057647,-0.580333
1764061306011,0.006928,0.043962,-0.600879
1764061306021,-0.000769,0.024438,-0.668323
1764061306031,0.000678,0.01439,-0.775364
1764061306041,-0.009008,-0.013628,-0.926759
1764061306051,-0.013816,-0.02992,-1.069448
1764061306062,-0.009839,-0.024597,-1.166448
1764061306072,0.004208,0.020303,-1.166608
1764061306082,0.022722,0.064407,-1.07757
1764061306092,0.011092,0.040643,-0.940003
1764061306102,0.004495,0.02986,-0.823501
1764061306112,0.000667,0.020185,-0.783295
1764061306122,0.00045,0.013026,-0.861901
1764061306132,-0.000622,0.013315,-0.89696
1764061306142,-0.002696,-0.000135,-0.933095
1764061306152,-0.005841,-0.005557,-0.99618
1764061306162,0.000371,0.008984,-1.013975
1764061306172,-0.001333,0.015394,-1.059476
1764061306182,0.004672,0.018654,-1.066221
1764061306192,0.00374,0.014878,-0.989326
1764061306202,0.005616,0.017887,-0.928975
1764061306212,0.003738,0.025913,-0.873824
1764061306222,0.004074,0.019972,-0.824933
1764061306232,0.002717,0.016919,-0.82656
1764061306242,0.002912,0.020307,-0.850396
1764061306252,0.000919,0.017947,-0.916434
1764061306262,-0.00158,0.004628,-1.026303
1764061306272,-0.001163,0.007797,-1.15853
1764061306282,-0.000322,0.007939,-1.190345
1764061306292,0.001754,0.005388,-1.174533
1764061306302,0.00093,0.009532,-1.136929
1764061306312,-0.001128,0.013997,-1.090362
1764061306322,0.003585,0.020703,-1.078787
1764061306332,0.001279,0.014305,-1.05244
1764061306342,-0.001813,0.009923,-1.02141
1764061306352,-0.001019,0.012025,-0.99426
1764061306362,-0.002024,0.008714,-0.982123
1764061306372,-0.000611,0.009796,-0.956596
1764061306382,0.000047,0.007703,-0.909927
1764061306392,-0.001187,0.006091,-0.896663
1764061306402,-0.004009,0.00604,-0.905542
1764061306412,-0.006107,-0.003558,-0.939453
1764061306422,-0.001963,0.00484,-0.944903
1764061306432,-0.000496,0.020535,-0.928209
1764061306442,0.000229,0.018351,-0.914935
1764061306452,0.002921,0.016356,-0.855407
1764061306462,0.000801,0.01437,-0.815316
1764061306472,0.000958,0.014509,-0.820059
1764061306482,-0.004682,0.007996,-0.81754
1764061306492,-0.006051,0.009433,-0.855256
1764061306502,-0.002223,0.008863,-0.893669
1764061306512,0.001739,0.019672,-0.892677
1764061306522,0.001282,0.015115,-0.884025
1764061306532,-0.000135,0.010954,-0.872939
1764061306542,0.003603,0.018385,-0.851931
1764061306552,-0.004933,0.008122,-0.806118
1764061306562,-0.001634,0.016561,-0.758746
1764061306572,-0.003582,0.016457,-0.740968
1764061306582,-0.002404,0.011273,-0.796515
1764061306592,-0.000291,0.014986,-0.884182
1764061306602,0.002027,0.015618,-0.883689
1764061306612,0.000911,0.012354,-0.897057
1764061306622,0.000766,0.016163,-0.890187
1764061306632,0.005393,0.025818,-0.860916
1764061306642,-0.000617,0.024088,-0.771549
1764061306652,-0.001764,0.00386,-0.714046
1764061306662,-0.004633,0.009888,-0.651162
1764061306672,-0.006635,-0.002306,-0.644855
1764061306682,-0.009801,-0.001859,-0.643736
1764061306692,-0.009229,-0.002794,-0.617368
1764061306702,-0.010262,-0.004487,-0.641785
1764061306712,-0.004444,0.006635,-0.734303
1764061306723,-0.004633,0.004728,-0.797634
1764061306733,-0.007983,-0.002565,-0.856986
1764061306743,-0.001112,0.005708,-0.846889
1764061306753,-0.001541,0.010596,-0.740575
1764061306763,-0.0086,-0.004633,-0.658134
1764061306773,-0.015002,-0.018016,-0.59972
1764061306783,-0.016116,-0.023369,-0.598914
1764061306793,-0.010827,-0.002365,-0.65859
1764061306803,-0.004699,0.007936,-0.747129
1764061306813,-0.010145,-0.005704,-0.866035
1764061306823,-0.011942,-0.015802,-0.936688
1764061306833,0.004443,0.020985,-0.943114
1764061306843,-0.013536,-0.010622,-0.888189
1764061306853,-0.009808,-0.009892,-0.847188
1764061306863,-0.012733,-0.018786,-0.771368
1764061306873,-0.029085,-0.051679,-0.758635
1764061306883,-0.003181,0.012215,-0.838438
1764061306893,-0.000361,0.023472,-0.897252
1764061306903,0.004497,0.021245,-0.927687
1764061306913,0.00068,0.02351,-0.916537
1764061306923,-0.001362,0.020017,-0.832669
1764061306933,0.003191,0.027391,-0.739279
1764061306943,-0.003199,0.01875,-0.6472
1764061306953,0.000161,0.021723,-0.588832
1764061306963,0.001931,0.031662,-0.544679
1764061306973,-0.006968,0.011537,-0.552691
1764061306983,-0.00206,0.022544,-0.559313
1764061306993,-0.001366,0.019343,-0.567449
1764061307003,-0.001164,0.023814,-0.592296
1764061307013,-0.004124,0.011771,-0.591603
1764061307023,0.003343,0.031472,-0.587386
1764061307033,-0.007333,0.008029,-0.578148
1764061307043,0.005081,0.033103,-0.566971
1764061307053,0.003675,0.040759,-0.538154
1764061307063,-0.006228,0.008258,-0.547305
1764061307073,0.005627,0.039936,-0.525362
1764061307083,-0.006277,0.013622,-0.501677
1764061307093,-0.002277,0.026587,-0.468205
1764061307103,-0.003809,0.013955,-0.491449
1764061307113,-0.001447,0.019178,-0.500671
1764061307123,-0.001575,0.019673,-0.540802
1764061307133,-0.004016,0.011327,-0.523643
1764061307143,-0.003809,0.014434,-0.557972
1764061307153,-0.004751,0.017598,-0.588154
1764061307163,-0.006227,0.00615,-0.642122
1764061307173,-0.00289,0.008053,-0.694946
1764061307183,-0.006735,0.001415,-0.772527
1764061307193,-0.003439,0.011743,-0.822895
1764061307203,-0.001966,0.014334,-0.842307
1764061307213,-0.00624,0.003631,-0.851881
